post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
114,VLIQ11,5.0419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2022,,,,,,,,,,,,,Indefinido,indefinido,0,,118155565.38,0,,VLIQ11,14,,8102,,,
285,VLOL11,16.3034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,1.9900,2023,0.5493,111.0600,-0.1439,198219080.1500,14.1131,0.4046,1.2487,0.4162,2.9338,0.4890,6.3606,0.5300,Lajes Corporativas,lajes-corporativas,98,160238.13,118155565.38,1.5358,0.8824059067170898,VLOL11,14,9.894248404735,8102,,,
235,VOTS11,0.5800,0.7800,1.0033,3.0100,0.9900,5.9400,1.0092,12.1100,3.5938,9.1442,4.4018,74.3700,3.0100,2025,0.6291,93.7800,0.5252,77641043.0300,10.2492,1.1577,2.4075,0.8025,4.3730,0.7288,9.8974,0.8248,Papéis,papeis,75.88,4210,77641043.03,0.8091,0.8091277457880145,VOTS11,14,37.881042630941,642,,,
4124,VPPR11,0.0700,0.5300,0.5300,0.5300,0.3200,1.9200,0.3417,4.1000,-9.0278,-8.5456,-8.5456,13.1000,0.5300,2025,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,13,86504.43,294306563.53,0.3231,,VPPR11,2,15.782568471274,41105,,,
127,VRTA11,0.8500,1.0900,1.1033,3.3100,1.0550,6.3300,1.0650,12.7800,2.1882,5.2083,3.3020,77.9900,3.3100,2025,0.9794,86.7900,-4.8042,1353297516.2900,4.8287,-3.8719,2.8790,0.9597,5.5545,0.9257,11.2987,0.9416,Papéis,papeis,83,1408680.62,1353297516.29,0.9621,0.9563313745823251,VRTA11,14,16.219795507001,115716,,,
3227,VRTM11,0.0900,1.3700,1.3967,4.1900,1.2800,7.6800,1.1367,13.6400,5.6361,-1.1746,7.0833,6.5600,4.1900,2025,,,,,,,,,,,,,Misto,misto,6.99,363288.62,427812063.63,0.7673,,VRTM11,4,43.997357220116,11830,,,
121,VSEC11,2.0489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,138.0000,2023,,,,,,,,,,,,,Papéis,papeis,0.21,2.5,118155565.38,0.0033,,VSEC11,14,904.16497556217,8102,,,
271,VSHO11,0.6500,1.0200,1.0400,3.1200,1.0500,6.3000,0.9558,11.4700,1.3636,-0.0524,2.3975,63.9300,3.1200,2025,0.6258,103.8600,4.5185,217988731.0000,10.0423,5.1726,1.9664,0.6555,4.0395,0.6733,7.5376,0.6281,Shoppings,shoppings,71.38,201094.19,217988731,0.6873,0.6872713267860581,VSHO11,3,19.97017122663,3419,,,
48,VSLH11,0.0300,1.0400,1.0300,3.0900,1.1283,6.7700,1.1925,14.3100,0.0000,-6.6066,1.0400,2.8800,3.0900,2025,0.3009,9.9700,-4.0423,297757267.6000,14.5926,-3.7536,0.9639,0.9639,2.0509,0.3418,4.3213,0.3601,Papéis,papeis,2.83,105762.67,297757267.6,0.2839,0.283851554663992,VSLH11,14,21.129190427628,72779,,,
293,VTLT11,0.9700,1.1800,1.1500,3.4500,1.0967,6.5800,1.0650,12.7800,-0.5223,-3.5085,0.6515,81.9000,3.4500,2025,0.9255,104.8100,4.0504,221664967.0300,12.7963,5.0134,2.7010,0.9003,5.1728,0.8621,10.1279,0.8440,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,86.4,61833.24,221664967.03,0.8243,0.8243488216773209,VTLT11,1,16.557950697526,5900,,,
