TICKER,SETOR,DIVIDENDO,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,RENTABILIDADE_MES,VARIACAO_COTACAO_MES,COTACAO_FECHAMENTO,VPA,NUMERO_COTISTA,VOLATILITY
VGHF11,Misto,0.0900,2584905.24,0.9248,1.2500,1.1267,13.5200,3.7600,0.0552,4.7414,3.4483,7.2000,8.3800,399539,19.353761235599
VGIA11,Indefinido,0.1200,1210222.81,0.8964,1.4400,1.4058,16.8700,4.2200,12.5193,7.7800,6.2500,8.3300,9.6500,168485,17.035449067336
VGII11,Tecidos. Vestuário e Calçados,4.8182,369002,1.1338,5.3300,0.8025,9.6300,5.3300,5.3300,5.3300,0.0000,90.4700,,7,20.703252888962
VGIP11,Papéis,0.9100,1122937.95,0.912,1.1200,1.0858,13.0300,3.4300,20.2000,7.5852,6.3936,81.0400,88.7300,85405,20.42619156608
VGIR11,Papéis,0.1100,3757364.1,0.9836,1.1900,1.1825,14.1900,3.6300,14.6848,5.1605,3.9238,9.2700,9.7400,249578,13.012923033319
VGRI11,Misto,0.1500,562528.19,0.774,2.1200,1.8627,20.4900,6.2900,-2.7895,1.8319,-0.2821,7.0700,,9768,29.696516473545
VIDS11,Fundo de Desenvolvimento,2.8471,,0.9926,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,199,0.455367078126
VIFI11,Fundo de Fundos,0.0700,30.26,0.8733,1.0100,0.9258,11.1100,2.9300,-1.4316,-6.6362,-7.5697,6.9600,7.9700,5521,19.191652890619
VIGT11,Indefinido,0.1000,273456.19,0,0.2600,0.8575,10.2900,0.9300,-33.7743,23.9316,23.6102,37.8000,,0,52.495174282673
VILG11,Imóveis Industriais e Logísticos,0.6600,1473468.67,0.7422,0.8500,0.7900,9.4800,2.6400,6.3912,10.4153,9.4847,77.3400,112.7300,147824,20.149821349167
VINO11,Lajes Corporativas,0.0500,402094.24,0.5116,1.0500,0.9575,11.4900,3.1600,1.6947,3.2231,2.1505,4.7500,10.3400,151167,25.40806225292
VISC11,Shoppings,0.8000,3370921.14,0.8272,0.8100,0.8300,9.9600,2.5000,8.6547,5.1666,4.3216,98.4900,125.0900,345645,18.772325211314
VIUR11,Misto,0.0670,487488.43,0.6093,1.3300,1.1417,13.7000,3.8300,-6.0053,1.3300,0.0000,5.0400,8.8300,46867,23.300139415408
VJFD11,Papéis,0.7500,3889.59,0.9467,0.4800,0.2000,2.4000,1.4400,1.4469,0.4800,0.0000,155.0200,163.7500,96,15.282984050298
VLIQ11,Indefinido,5.0419,,0,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,8102,
VLOL11,Lajes Corporativas,16.3034,160238.13,1.5358,0.0000,0.0000,0.0000,1.9900,,0.0000,0.0000,,111.0600,8102,9.894248404735
VOTS11,Papéis,0.5800,4210,0.8091,0.7800,1.0092,12.1100,3.0100,9.1442,4.4018,3.5938,74.3700,93.7800,642,37.881042630941
VPPR11,Lajes Corporativas,0.0700,86504.43,0.3231,0.5300,0.3417,4.1000,0.5300,-8.5456,-8.5456,-9.0278,13.1000,,41105,15.782568471274
VRTA11,Papéis,0.8500,1408680.62,0.9621,1.0900,1.0650,12.7800,3.3100,5.2083,3.3020,2.1882,77.9900,86.7900,115716,16.219795507001
VRTM11,Misto,0.0900,363288.62,0.7673,1.3700,1.1367,13.6400,4.1900,-1.1746,7.0833,5.6361,6.5600,,11830,43.997357220116
VSEC11,Papéis,2.0489,2.5,0.0033,0.0000,0.0000,0.0000,138.0000,,0.0000,0.0000,,,8102,904.16497556217
VSHO11,Shoppings,0.6500,201094.19,0.6873,1.0200,0.9558,11.4700,3.1200,-0.0524,2.3975,1.3636,63.9300,103.8600,3419,19.97017122663
VSLH11,Papéis,0.0300,105762.67,0.2839,1.0400,1.1925,14.3100,3.0900,-6.6066,1.0400,0.0000,2.8800,9.9700,72779,21.129190427628
VTLT11,Imóveis Industriais e Logísticos,0.9700,61833.24,0.8243,1.1800,1.0650,12.7800,3.4500,-3.5085,0.6515,-0.5223,81.9000,104.8100,5900,16.557950697526
VTPL11,Papéis,5.1100,1273.17,0.7152,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,54,
VVCO11,Lajes Corporativas,11.1600,700522.43,0.976,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,2859,16.424916974881
VVCR11,Papéis,0.1100,1170919.67,0.968,1.1000,0.9758,11.7100,3.5100,14.1924,8.3757,7.1966,9.9800,,2303,15.60735818618
VVMR11,Lajes Corporativas,0.1400,563994.9,0.7204,0.1600,0.6958,8.3500,0.3800,-4.6194,-3.1392,-3.2939,86.6100,,685,26.018452289409
VVPR11,Misto,0.8923,1249061.55,1.5907,0.8900,0.0000,0.0000,7.4500,14.4394,1.2956,0.4020,99.9000,98.0300,8102,3.425928713562
VVRI11,Indefinido,0.5191,43062.62,0.8483,1.0400,0.8308,9.9700,2.1100,-46.5380,-48.5326,-49.0624,49.9800,,165,69.426915962514
VXXV11,Fundo de Desenvolvimento,273.3500,66975,1.0212,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,12,41.986536230865
WPLZ11,Shoppings,0.3200,7444.33,0.779,0.6500,0.6442,7.7300,1.9400,-4.6715,6.1838,5.4981,48.9300,66.7500,1648,44.667703543835
WSEC11,Indefinido,0.0862,4894.86,0.6784,1.2400,1.1050,13.2600,3.5200,-6.1349,-3.3366,-4.5205,6.9700,,542,35.215328243378
WTSP11B,Misto,0.0500,3852,0.6769,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,84.2100,210,6.669961288398
XPCA11,Indefinido,0.1000,791404.9,0.775,1.4500,1.0642,12.7700,3.0900,14.2059,2.9419,1.4706,6.9000,9.5100,99278,22.541347923555
XPCI11,Papéis,0.8400,1214939.14,0.911,1.1400,1.0875,13.0500,3.4200,1.9022,6.1339,4.9376,73.9600,86.9400,68539,18.698627043924
XPCM11,Lajes Corporativas,0.0200,11096.52,0.2587,0.2000,0.0000,0.0000,0.2000,-1.3415,-1.3415,-1.5385,10.2400,29.0400,18609,26.150855154251
XPHT11,Hotéis,0.4051,230869.59,0.6577,0.9300,0.8425,10.1100,10.1100,15.3653,16.9272,15.8498,43.4900,63.1300,1268,29.848886039472
XPID11,Indefinido,0.7000,458050.05,0,1.2900,1.1567,13.8800,3.8300,-4.7760,-0.2336,-1.5042,54.3500,,0,22.178722287756
XPIE11,Indefinido,1.0000,1237494.19,0,1.6000,1.3158,15.7900,4.7600,6.2995,-3.1155,-4.6412,62.4600,,0,17.676411711532
XPIN11,Imóveis Industriais e Logísticos,0.7400,357407,0.6708,1.0700,0.9750,11.7000,3.3400,11.5374,8.6083,7.4585,69.3000,105.2700,45028,15.862843924236
XPLG11,Imóveis Industriais e Logísticos,0.8200,3214657.24,0.9117,0.9000,0.8258,9.9100,2.6700,3.3824,3.6968,2.7719,91.5800,106.9200,342051,14.954546515144
XPML11,Shoppings,0.9200,12228072.52,0.8634,0.9400,0.9167,11.0000,2.8800,7.5577,1.2206,0.2780,97.3800,117.2500,582781,15.070162470782
XPPR11,Lajes Corporativas,0.0700,78639.38,0.2067,0.5300,0.3650,4.3800,0.5300,-8.5456,-8.5456,-9.0278,13.1000,60.6800,42867,21.622564743917
XPSF11,Fundo de Fundos,0.0600,683736.81,0.8475,1.0300,1.0367,12.4400,3.3200,-3.9312,3.8961,2.8369,5.8000,7.0800,62841,16.951708493993
XTED11,Lajes Corporativas,11.1600,17641.88,0.6771,,,,,,,,,28.0218,4098,29.460550469301
YUFI11,Fundo de Desenvolvimento,0.3646,5.17,0.5605,0.6100,0.2558,3.0700,2.2400,-31.5374,1.2053,0.5917,59.5000,,56,35.167574455976
YUFI11B,Indefinido,0.6331,,0,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,105.5322,0,
ZAGH11,Serviços Financeiros Diversos,0.0700,5236,1.0379,0.7800,0.5017,6.0200,2.1000,-28.0877,-12.1955,-12.8751,9.0000,,400,967.09723554645
ZAVC11,Indefinido,0.1300,8738.24,0.8961,0.0000,1.2850,12.8500,0.0000,,0.0000,0.0000,,,160,71.24569506236
ZAVI11,Indefinido,1.0500,230816.71,0.7235,1.0600,1.1367,13.6400,3.7800,4.8175,19.2798,18.0287,99.5100,,3353,41.445976464842
ZIFI11,Fundo de Desenvolvimento,3.3050,412.38,0.3396,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,98,58.00348306158
